SKU,GCODE,Category,New Description,NMFC,Treads,Width,Depth,Gauge,Height,Length,Capacity,WEIGHT,Stock,Type
MB,MB,MEZZ,BRIDGE-CROSSOVER-SIZE: nan,65,,,,,,,,0.0 lbs,,
UA,UA,RACK-K,"POST-UPRIGHT-3""x3""x14GA-KEYSTONE STYLE- SPI-PALLET RACK",55,,,,14,,,,2.5 lbs,,part
B3,B3,RACK-K,"CONNECTOR-BEAM-8""H-LEFT-KEYSTONE STYLE- PALLET RACK-SPI-NOPAINT-WELDING REQ",55,,,,,,,,1.55 lbs,,part
BG24,BG,RACK-SPI,"CROSS AISLE SUPPORT-SPI-24"" LENGTH BEAM-PALLET RACK",55,,,,,,"24""",,7.5 lbs,,
BG32,BG,RACK-SPI,"CROSS AISLE SUPPORT-SPI-32     ""LENGTH- BEAM-PALLET RACK",55,,,,,,"32""",,10.0 lbs,,
U1,U1,RACK-SPI,"COUPLER-3""x1 5/8"" PALLET RACK-KEYSTONE- W/ 2 EA 3/8""x3 1/2"" BOLTS & NUTS",55,,,,,,,,1.0 lbs,,
U2,U2,RACK-K,"COUPLER-3x3 UPRIGHT-PALLET RACK-KEYSTONE W/ 2 BOLTS, 2 NUTS-NOPAINT",55,,,,,,,,1.5 lbs,,
U3,U3,RACK-SPI,"FOOTPLATE-UPRIGHT-PALLET RACK:3-1/8""x5""- SPI-DIMPLED-ALT.USE:SHIM-UNPAINTED",55,,,,,,,,0.5 lbs,,part
UB,UB,RACK-SPI,BRACE-UPRIGHT POST-PALLET RACK-SPI- UNPAINTED,55,,,,,,,,0.9 lbs,,part
MHS,MHS,MEZZ,"HANDRAIL SYSTEM-OSHA-42"" HIGH-30' MIN.- nan",65,,,,,"42""",,,7.0 lbs,,
Z3,Z3,MISC,CHARGE-SPECIAL PAINT nan,55,,,,,,,,0.0 lbs,,
Z4,Z4,MISC,CHARGE-MATERIAL nan,55,,,,,,,,0.0 lbs,,
Z5,Z5,MISC,CHARGE-LABOR nan,55,,,,,,,,0.0 lbs,,
Z6,Z6,MISC,CHARGE-WORK DONE nan,55,,,,,,,,0.0 lbs,,
G1,G1,MP GRAT,"COUPLER-1.5""D METAL PLANK GRATING-OVAL HOLE-SPI-G90 GALVANIZED",55,,,,,,,,0.4 lbs,,
G4,G4,MP GRAT,"COUPLER-2.5/4.0""D METAL PLANK GRATING-OV AL HOLE-SPI-G90 GALVANIZED",55,,,,,,,,0.4 lbs,,
G5,G5,MP GRAT,"COUPLER-FLAT-1.5""D METAL PLANK GRATING- SPI",55,,,,,,,,0.4 lbs,,
G7,G7,MP GRAT,"COUPLER-2.5""D METAL PLANK GRATING-LOUVER HOLE-SPI-G90 GALVANIZED",55,,,,,,,,1.0 lbs,,
G8,G8,MP GRAT,"COUPLER-4.0""D METAL PLANK GRATING-LOUVER HOLE-SPI-G90 GALVANIZED",55,,,,,,,,1.0 lbs,,
GZF,GZF,MP GRAT,"FILLER-METAL PLANK GRATING-      ""Wx  ""D x  GA-SOLID-GALVANIZED-SKID SURFACE",55,,,,,,,,0.0 lbs,,
BBD18,B DECK,RIB DECK,"DECKING-B DECK STYLE-18 GAx36""W NONINAL- nan",70,,"36""",,18,,,,2.72 lbs,,
BBD20,B DECK,RIB DECK,DECKING-B DECK STYLE-20 GA nan,70,,"36""",,20,,,,6.1 lbs,,
BBD22,B DECK,RIB DECK,"DECKING-B DECK STYLE-22 GA-36""Wx1 1/2""D nan",70,,"36""",,22,,,,5.0 lbs,,
DBD18,B DECK,RIB DECK,"DECKING-B DECK STYLE-18 GA-36""NOM.WIDTH- nan",70,,"36""",,18,,,,8.2 lbs,,
DBD20,B DECK,RIB DECK,"DECKING-B DECK STYLE-20 GA-36""NOM.WIDTH- nan",70,,"36""",,20,,,,6.4 lbs,,
DBD22,B DECK,RIB DECK,"DECKING-B DECK STYLE-22 GA-36""NOM.WIDTH- nan",70,,"36""",,22,,,,5.4 lbs,,
CUSTOM,CUSTOM,CUSTOM,CUSTOM: nan,55,,,,,,,,0.0 lbs,,
MISC,MISC,MISC,MISCELLANEOUS: nan,55,,,,,,,,0.0 lbs,,
MP DECK,MP DECK,MP DECK,METAL PLANK DECKING- nan,70,,,,,,,,0.0 lbs,,
MP GRAT,MP GRAT,,METAL PLANK GRATING: nan,,,,,,,,,0.0 lbs,,
RACK-SPI,RACK-SPI,RACK-SPI,RACK-SPI: nan,55,,,,,,,,0.0 lbs,,
STAIRS,STAIRS,STAIRS,STAIRS: nan,65,,,,,,,,0.0 lbs,,
B4,B4,RACK-K,"CONNECTOR-BEAM-8""H-RIGHT-KEYSTONE STYLE- PALLET RACK-SPI-NOPAINT-WELDING REQ",55,,,,,,,,1.55 lbs,,part
GENERAL,GENERAL,GENERAL,GENERAL: nan,55,,,,,,,,0.0 lbs,,
UC,UC,RACK-K,"POST-UPRIGHT-SPI-PALLET RACK-3""x1 5/8""- 14GA-KEYSTONE STYLE",55,,,,,,,,1.8 lbs,,part
COATING,COATING,,COATING-CUSTOM POWDER COATING nan,,,,,,,,,0.0 lbs,,
HO,CUSTOM,CUSTOM,"HOOKOVERS 2""x3""x4 1/4""x10GA nan",55,,,,10,,,,1.0 lbs,,part
BF30,BF,RACK-SPI,"FLANGED CROSS BAR-STEPBEAM-30""UR DEPTH -PALLET RACK-SPI-2"" BEAM OPENINGS",55,,,,,,,,5.5 lbs,,
BH30,BH,RACK-SPI,"HAT SECTION-STEPBEAM-1 5/8""Dx30""UR DEPTH -PALLET RACK-3/4"" RECESS",55,,,,,,,,2.9 lbs,,
UR6,UR,RACK-SPI,"RIGID ROW SPACER-UPRIGHT-LENGTH=6"" nan",55,,,,,,"6""",,0.5 lbs,,
UR9,UR,RACK-SPI,"RIGID ROW SPACER-UPRIGHT-LENGTH=9"" nan",55,,,,,,"9""",,1.6 lbs,,
UR18,UR,RACK-SPI,"RIGID ROW SPACER-UPRIGHT-LENGTH=18"" nan",55,,,,,,"18""",,1.8 lbs,,
UR30,UR,RACK-SPI,"RIGID ROW SPACER-UPRIGHT-LENGTH=30"" nan",55,,,,,,"30""",,4.8 lbs,,
UR42,UR,RACK-SPI,"RIGID ROW SPACER-UPRIGHT-LENGTH=42"" nan",55,,,,,,"42""",,6.7 lbs,,
UW6,UW,RACK-SPI,"WALL TIE-UPRIGHT-SPI, LENGTH=6"" nan",55,,,,,,"6""",,0.8 lbs,,
UW9,UW,RACK-SPI,"WALL TIE-UPRIGHT-SPI, LENGTH=9"" nan",55,,,,,,"9""",,1.6 lbs,,
UW18,UW,RACK-SPI,"WALL TIE-UPRIGHT-SPI, LENGTH=18"" nan",55,,,,,,"18""",,3.0 lbs,,
UW30,UW,RACK-SPI,"WALL TIE-UPRIGHT-SPI, LENGTH=30"" nan",55,,,,,,"30""",,4.8 lbs,,
UW42,UW,RACK-SPI,"WALL TIE-UPRIGHT-SPI, LENGTH=42"" nan",55,,,,,,"42""",,6.7 lbs,,
U18K3072,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.CAP.EA-30""x72 ""(6 ')H",55,,,"30""",,"72""",,15450 lbs,31.0 lbs,,
U18T4296,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-42""Dx 96""(8 ')H",55,,,"42""",,"96""",,13250 lbs,46.0 lbs,,
U18T36120,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-36""Dx120""(10')H",55,,,"36""",,"120""",,13250 lbs,53.0 lbs,,
U18T42120,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-42""Dx120""(10')H",55,,,"42""",,"120""",,13250 lbs,55.0 lbs,,
U18T36144,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-36""Dx144""(12')H",55,,,"36""",,"144""",,13250 lbs,65.0 lbs,,
U18T42144,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-42""Dx144""(12')H",55,,,"42""",,"144""",,13250 lbs,68.0 lbs,,
U18T48144,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-48""Dx144""(12')H",55,,,"48""",,"144""",,13250 lbs,71.0 lbs,,
U18T42192,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-42""Dx192""(16')H",55,,,"42""",,"192""",,13250 lbs,89.0 lbs,,
U18T3696,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-36""Dx 96""(8 ')H",55,,,"36""",,"96""",,13250 lbs,44.0 lbs,,
U18K3696,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-36""Dx 96( 8')H",55,,,"36""",,"96""",,15450 lbs,44.0 lbs,,
U18K4296,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-42""Dx 96""( 8')H",55,,,"42""",,"96""",,15450 lbs,46.0 lbs,,
U18K36120,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-36""Dx120""(10')H",55,,,"36""",,"120""",,15450 lbs,53.0 lbs,,
U18K42120,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-42""Dx120""(10')H",55,,,"42""",,"120""",,15450 lbs,55.0 lbs,,
U18K36144,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-36""Dx144""(12')H",55,,,"36""",,"144""",,15450 lbs,65.0 lbs,,
U18K42144,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-42""Dx144""(12')H",55,,,"42""",,"144""",,15450 lbs,68.0 lbs,,
U18K48144,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-48""Dx144""(12')H",55,,,"48""",,"144""",,15450 lbs,71.0 lbs,,
U18K42192,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-42""Dx192""(16')H",55,,,"42""",,"192""",,15450 lbs,89.0 lbs,,
U18T3072,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-30""Dx72 ""(6 ')H",55,,,"30""",,"72""",,13250 lbs,31.0 lbs,,
U18T3672,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-36""Dx 72""( 6')H",55,,,"36""",,"72""",,13250 lbs,32.0 lbs,,
U18T4272,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-42""Dx 72""( 6')H",55,,,"42""",,"72""",,13250 lbs,34.0 lbs,,
U18T4872,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-48""Dx 72""( 6')H",55,,,"48""",,"72""",,13250 lbs,35.0 lbs,,
U18T3084,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-30""Dx 84""( 7')H",55,,,"30""",,"84""",,13250 lbs,36.0 lbs,,
U18T3684,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-36""Dx 84""( 7')H",55,,,"36""",,"84""",,13250 lbs,37.0 lbs,,
U18T4284,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-42""Dx 84""( 7')H",55,,,"42""",,"84""",,13250 lbs,38.0 lbs,,
U18T4884,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-48""Dx 84""( 7')H",55,,,"48""",,"84""",,13250 lbs,39.0 lbs,,
U18T3096,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-30""Dx 96""( 8')H",55,,,"30""",,"96""",,13250 lbs,42.0 lbs,,
U18T4896,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-48""Dx 96""( 8')H",55,,,"48""",,"96""",,13250 lbs,48.0 lbs,,
U18T30108,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-30""Dx108""( 9')H",55,,,"30""",,"108""",,13250 lbs,46.0 lbs,,
U18T36108,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-36""Dx108""( 9')H",55,,,"36""",,"108""",,13250 lbs,48.0 lbs,,
U18T42108,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-42""Dx108""( 9')H",55,,,"42""",,"108""",,13250 lbs,50.0 lbs,,
U18T48108,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-48""Dx108""( 9')H",55,,,"48""",,"108""",,13250 lbs,52.0 lbs,,
U18T30132,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-30""Dx132""(11')H",55,,,"30""",,"132""",,13250 lbs,55.0 lbs,,
U18T36132,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-36""Dx132""(11')H",55,,,"36""",,"132""",,13250 lbs,57.0 lbs,,
U18T48132,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-48""Dx132""(11')H",55,,,"48""",,"132""",,13250 lbs,61.0 lbs,,
U18T30144,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-30""Dx144""(12')H",55,,,"30""",,"144""",,13250 lbs,62.0 lbs,,
U18T30156,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-30""Dx156""(13')H",55,,,"30""",,"156""",,13250 lbs,66.0 lbs,,
U18T36156,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-36""Dx156""(13')H",55,,,"36""",,"156""",,13250 lbs,69.0 lbs,,
U18T42156,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-42""Dx156""(13')H",55,,,"42""",,"156""",,13250 lbs,72.0 lbs,,
U18T48156,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-48""Dx156""(13')H",55,,,"48""",,"156""",,13250 lbs,74.0 lbs,,
U18T30168,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-30""Dx168""(14')H",55,,,"30""",,"168""",,13250 lbs,70.0 lbs,,
U18T36168,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-36""Dx168""(14')H",55,,,"36""",,"168""",,13250 lbs,73.0 lbs,,
U18T42168,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-42""Dx168""(14')H",55,,,"42""",,"168""",,13250 lbs,76.0 lbs,,
U18T48168,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-48""Dx168""(14')H",55,,,"48""",,"168""",,13250 lbs,79.0 lbs,,
U18T30180,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-30""Dx180""(15')H",55,,,"30""",,"180""",,13250 lbs,75.0 lbs,,
U18T30120,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-30""Dx120""(10')H",55,,,"30""",,"120""",,13250 lbs,51.0 lbs,,
U18T48120,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-48""Dx120""(10')H",55,,,"48""",,"120""",,13250 lbs,57.0 lbs,,
U18T42132,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-42""Dx132""(11')H",55,,,"42""",,"132""",,13250 lbs,58.0 lbs,,
U18T36180,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-36""Dx180""(15')H",55,,,"36""",,"180""",,13250 lbs,77.0 lbs,,
U18T42180,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-42""Dx180""(15')H",55,,,"42""",,"180""",,13250 lbs,80.0 lbs,,
U18T48180,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-48""Dx180""(15')H",55,,,"48""",,"180""",,13250 lbs,83.0 lbs,,
U18T30192,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-30""Dx192""(16')H",55,,,"30""",,"192""",,13250 lbs,82.0 lbs,,
U18T36192,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-36""Dx192""(16')H",55,,,"36""",,"192""",,13250 lbs,85.0 lbs,,
U18T48192,U18T,RACK-T,"UPRIGHT-PALLET RACK-TEARDROP-3x1 5/8POST 13250 LB.NOM.CAP.EA-48""Dx192""(16')H",55,,,"48""",,"192""",,13250 lbs,93.0 lbs,,
U18K3672,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-36""Dx 72""( 6')H",55,,,"36""",,"72""",,15450 lbs,32.0 lbs,,
U18K4272,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-42""Dx 72""( 6')H",55,,,"42""",,"72""",,15450 lbs,34.0 lbs,,
U18K4872,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-48""Dx 72""( 6')H",55,,,"48""",,"72""",,15450 lbs,35.0 lbs,,
U18K3084,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-30""Dx 84""( 7')H",55,,,"30""",,"84""",,15450 lbs,36.0 lbs,,
U18K3684,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-36""Dx 84""( 7')H",55,,,"36""",,"84""",,15450 lbs,37.0 lbs,,
U18K4284,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-42""Dx 84""( 7')H",55,,,"42""",,"84""",,15450 lbs,38.0 lbs,,
U18K4884,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-48""Dx 84""( 7')H",55,,,"48""",,"84""",,15450 lbs,39.0 lbs,,
U18K3096,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-30""Dx 96""( 8')H",55,,,"30""",,"96""",,15450 lbs,42.0 lbs,,
U18K4896,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-48""Dx 96""( 8')H",55,,,"48""",,"96""",,15450 lbs,48.0 lbs,,
U18K30108,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-30""Dx108""( 9')H",55,,,"30""",,"108""",,15450 lbs,46.0 lbs,,
U18K36108,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-36""Dx108""( 9')H",55,,,"36""",,"108""",,15450 lbs,48.0 lbs,,
U18K42108,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-42""Dx108""( 9')H",55,,,"42""",,"108""",,15450 lbs,50.0 lbs,,
U18K48108,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-48""Dx108""( 9')H",55,,,"48""",,"108""",,15450 lbs,52.0 lbs,,
U18K30120,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-30""Dx120""(10')H",55,,,"30""",,"120""",,15450 lbs,51.0 lbs,,
U18K48120,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-48""Dx120""(10')H",55,,,"48""",,"120""",,15450 lbs,57.0 lbs,,
U18K30132,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1-5/8POST 15450 LB.NOM.CAP.EA-30""Dx132""(",55,,,"30""",,"132""",,15450 lbs,55.0 lbs,,
U18K36132,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-36""Dx132""(11')H",55,,,"36""",,"132""",,15450 lbs,57.0 lbs,,
U18K48132,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-48""Dx132""(11')H",55,,,"48""",,"132""",,15450 lbs,61.0 lbs,,
U18K30144,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-30""Dx144""(12')H",55,,,"30""",,"144""",,15450 lbs,62.0 lbs,,
U18K30156,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-30""Dx156""(13')H",55,,,"30""",,"156""",,15450 lbs,66.0 lbs,,
U18K36156,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-36""Dx156""(13')H",55,,,"36""",,"156""",,15450 lbs,69.0 lbs,,
U18K42156,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-42""Dx156""(13')H",55,,,"42""",,"156""",,15450 lbs,72.0 lbs,,
U18K48156,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-48""Dx156""(13')H",55,,,"48""",,"156""",,15450 lbs,74.0 lbs,,
U18K30168,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-30""Dx168""(14')H",55,,,"30""",,"168""",,15450 lbs,70.0 lbs,,
U18K36168,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-36""Dx168""(14')H",55,,,"36""",,"168""",,15450 lbs,73.0 lbs,,
U18K42168,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-42""Dx168""(14')H",55,,,"42""",,"168""",,15450 lbs,76.0 lbs,,
U18K48168,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-48""Dx168""(14')H",55,,,"48""",,"168""",,15450 lbs,79.0 lbs,,
U18K30180,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-30""Dx180""(15')H",55,,,"30""",,"180""",,15450 lbs,75.0 lbs,,
U18K36180,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-36""Dx180""(15')H",55,,,"36""",,"180""",,15450 lbs,77.0 lbs,,
U18K42180,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-42""Dx180""(15')",55,,,"42""",,"180""",,15450 lbs,80.0 lbs,,
U18K48180,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-48""Dx180""(15')H",55,,,"48""",,"180""",,15450 lbs,83.0 lbs,,
U18K30192,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-30""Dx192""(16')H",55,,,"30""",,"192""",,15450 lbs,82.0 lbs,,
U18K36192,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-36""Dx192""(16')H",55,,,"36""",,"192""",,15450 lbs,85.0 lbs,,
U18K48192,U18K,RACK-K,"UPRIGHT-PALLET RACK-KEYSTONE-3x1 5/8POST 15450 LB.NOM.CAP.EA-48""Dx192""(16')H",55,,,"48""",,"192""",,15450 lbs,93.0 lbs,,
BS6T4096,BS6T,RACK-T,"STEP BEAM-PALLET RACK-TEARDROP-SPEC.DUTY 1 5/8STEP-4287 LB.D.CAP-4.0""Hx 96""L",55,,,,,"4.0""","96""",4287 lbs,24.0 lbs,,
BS6K4096,BS6K,RACK-K,"STEP BEAM-PALLET RACK-KEYSTONE-SPEC.DUTY 1 5/8STEP-4287 LB.D.CAP-4.0""Hx 96""L",55,,,,,"4.0""","96""",4287 lbs,24.0 lbs,,
BS6T4596,BS6T,RACK-T,"STEP BEAM-PALLET RACK-TEARDROP-SPEC.DUTY 1 5/8STEP-5170 LB.D.CAP-4.5""Hx 96""L",55,,,,,"4.5""","96""",5170 lbs,26.0 lbs,,
BS6K4596,BS6K,RACK-K,"STEP BEAM-PALLET RACK-KEYSTONE-SPEC.DUTY 1 5/8STEP-5170 LB.D.CAP-4.5""Hx 96""L",55,,,,,"4.5""","96""",5170 lbs,26.0 lbs,,
BS4T45108,BS4T,RACK-T,"STEP BEAM-PALLET RACK-TEARDROP-NORM.DUTY 1 5/8STEP-5624 LB.D.CAP-4.5""Hx108""L",55,,,,,"4.5""","108""",5624 lbs,35.0 lbs,,
BS4K45108,BS4K,RACK-K,"STEP BEAM-PALLET RACK-KEYSTONE-NORM.DUTY 1 5/8STEP-5624 LB.D.CAP-4.5""Hx108""L",55,,,,,"4.5""","108""",5624 lbs,35.0 lbs,,
BS4T50120,BS4T,RACK-T,"STEP BEAM-PALLET RACK-TEARDROP-NORM.DUTY 1 5/8STEP-6000 LB.D.CAP-5.0""Hx120""L",55,,,,,"5.0""","120""",6000 lbs,41.0 lbs,,
