SKU,GCODE,Category,New Description,NMFC,Treads,Width,Depth,Gauge,Height,Length,Capacity,WEIGHT,Stock,Type
GT,NON I/L,MP GRAT,"PLANK GRATING-NONINTERLOCK-LOUV HOLE,G90 & NONSKID STANDARD-12""Wx1.5""Dx16GA:",55,,"12""","1.5""",16,,,,3.5 lbs,,
GU,NON I/L,MP GRAT,"PLANK GRATING-NONINTERLOCK-LOUV HOLE,G90 & NONSKID STANDARD-12""Wx1.5""Dx18GA:",55,,"12""","1.5""",18,,,,2.8 lbs,,
GV,NON I/L,MP GRAT,"PLANK GRATING-NONINTERLOCK-OVAL HOLE,G90 & NONSKID STANDARD-12""Wx2.5""Dx14GA:",55,,"12""","2.5""",14,,,,0.0 lbs,,
GW,NON I/L,MP GRAT,"PLANK GRATING-NONINTERLOCK-LOUV HOLE,G90 & NONSKID STANDARD-12""Wx2.5""Dx16GA:",55,,"12""","2.5""",16,,,,4.0 lbs,,
GY,NON I/L,MP GRAT,"PLANK GRATING-NONINTERLOCK-LOUV HOLE,G90 & NONSKID STANDARD-12""Wx4.0""Dx18GA:",55,,"12""","4.0""",18,,,,0.0 lbs,,
GZ,NON I/L,MP GRAT,"PLANK GRATING-NONINTERLOCK-OVAL HOLE,G90 & NONSKID STANDARD-12""Wx4.0""Dx14GA:",55,,"12""","4.0""",14,,,,0.0 lbs,,
BN24,BN,RACK-SPI,"NOTCHED CROSS BAR-NORMAL DUTY-STEPBEAM- SPI-UPRIGHT DEPTH=24""-3/4"" DROP",55,,,,,,,,3.5 lbs,,
BN32,BN,RACK-SPI,"NOTCHED CROSS BAR-NORMAL DUTY-STEPBEAM- SPI-UPRIGHT DEPTH=32""",55,,,,,,,,4.7 lbs,,
BN36,BN,RACK-SPI,"NOTCHED CROSS BAR-NORMAL DUTY-STEPBEAM- SPI-UPRIGHT DEPTH=36""-3/4"" DROP",55,,,,,,,,6.7 lbs,,
BN42,BN,RACK-SPI,"NOTCHED CROSS BAR-NORMAL DUTY-STEPBEAM- SPI-UPRIGHT DEPTH=42""-3/4"" DROP",55,,,,,,,,8.0 lbs,,
BN48,BN,RACK-SPI,"NOTCHED CROSS BAR-NORMAL DUTY-STEPBEAM- SPI-UPRIGHT DEPTH=48""-3/4"" DROP",55,,,,,,,,9.2 lbs,,
BT28,BT,RACK-SPI,"FORK ENTRY BAR-BOXBEAM,UR DEPTH=28"" nan",55,,,"28""",,,,,6.5 lbs,,
UP12,UP,RACK-SPI,"POST PROTECTOR-UPRIGHT-SPI,HEIGHT=12"" TWO HOLE BASEPLATE(ALL 3/16"" THICK)",55,,,,,"12""",,,5.5 lbs,,
UP18,UP,RACK-SPI,"POST PROTECTOR-UPRIGHT-SPI,HEIGHT=18"" TWO HOLE BASEPLATE (ALL 3/16""THICK)",55,,,,,"18""",,,7.8 lbs,,
UP24,UP,RACK-SPI,"POST PROTECTOR-UPRIGHT-SPI,HEIGHT=24"" TWO HOLE BASEPLATE(ALL 3/16"" THICK)",55,,,,,"24""",,,10.1 lbs,,
UP30,UP,RACK-SPI,"POST PROTECTOR-UPRIGHT-SPI,HEIGHT=30"" nan",55,,,,,"30""",,,12.5 lbs,,
UP36,UP,RACK-SPI,"POST PROTECTOR-UPRIGHT-SPI,HEIGHT=36"" TWO HOLE BASEPLATE(ALL 3/16""THICK)",55,,,,,"36""",,,14.7 lbs,,
UR12,UR,RACK-SPI,"RIGID ROW SPACER-UPRIGHT-LENGTH=12"" nan",55,,,,,,"12""",,0.9 lbs,,
UR24,UR,RACK-SPI,"RIGID ROW SPACER-UPRIGHT-LENGTH=24"" nan",55,,,,,,"24""",,1.9 lbs,,
UR36,UR,RACK-SPI,"RIGID ROW SPACER-UPRIGHT-LENGTH=36"" nan",55,,,,,,"36""",,2.8 lbs,,
UR48,UR,RACK-SPI,"RIGID ROW SPACER-UPRIGHT-LENGTH=48"" nan",55,,,,,,"48""",,7.6 lbs,,
UW12,UW,RACK-SPI,"WALL TIE-UPRIGHT-SPI, LENGTH=12"" nan",55,,,,,,"12""",,2.1 lbs,,
UW24,UW,RACK-SPI,"WALL TIE-UPRIGHT-SPI, LENGTH=24"" nan",55,,,,,,"24""",,3.9 lbs,,
UW36,UW,RACK-SPI,"WALL TIE-UPRIGHT-SPI, LENGTH=36"" nan",55,,,,,,"36""",,5.8 lbs,,
UW48,UW,RACK-SPI,"WALL TIE-UPRIGHT-SPI, LENGTH=48"" nan",55,,,,,,"48""",,7.6 lbs,,
SA10,SA,SANGLE,"SLOTTED ANGLE-SPI-1.5""x1.5""x14GA-GALx10' BNDL-10EA  W/75EA 5/16x3/4 NUT&BOLT",55,,,,,,,,62.0 lbs,,
SA12,SA,SANGLE,"SLOTTED ANGLE-SPI-1.5""x1.5""x14GA-GALx12' BNDL/10EA  W/75EA 5/16x3/4 NUT&BOLT",55,,,,,,,,74.4 lbs,,
SB10,SB,SANGLE,"SLOTTED ANGLE-SPI-1.5""x2.5""x14GA-GALx10' BNDL/10EA W/75EA 5/16x3/4 NUT&BOLT",55,,,,,,,,83.0 lbs,,
SB12,SB,SANGLE,"SLOTTED ANGLE-SPI-1.5""x2.5""x14GA-GALx12' BNDL/10EA  W/75EA 5/16x3/4 NUT&BOLT",55,,,,,,,,99.6 lbs,,
SC10,SC,SANGLE,"SLOTTED ANGLE-SPI-1.5""x3""x12GA-GALVx10' BNDL/10EA  W/75EA 5/16x3/4 NUT&BOLT",55,,,,,,,,137.0 lbs,,
SC12,SC,SANGLE,"SLOTTED ANGLE-SPI-1.5""x3""x12GA-GALVx12' BNDL/10EA W/75EA 5/16x3/4 NUT& BOLT",55,,,,,,,,164.4 lbs,,
SO1024,SO,STAIRS,"STAIRS-OSHA-SPI-10 TREADSx24""TREAD WIDTH nan",65,,,,,,,,300.0 lbs,,
SO1030,SO,STAIRS,"STAIRS-OSHA-SPI-10 TREADSx30""TREAD WIDTH nan",65,,,,,,,,300.0 lbs,,
SO1036,SO,STAIRS,"STAIRS-OSHA-SPI-10 TREADSx36""TREAD WIDTH nan",65,,,,,,,,300.0 lbs,,
SO1040,SO,STAIRS,"STAIRS-OSHA-SPI-10 TREADSx40""TREAD WIDTH nan",65,,,,,,,,300.0 lbs,,
SO1048,SO,STAIRS,"STAIRS-OSHA-SPI-10 TREADSx48""TREAD WIDTH nan",65,,,,,,,,300.0 lbs,,
SO1124,SO,STAIRS,"STAIRS-OSHA-SPI-11 TREADSx24""TREAD WIDTH nan",65,,,,,,,,330.0 lbs,,
SO1130,SO,STAIRS,"STAIRS-OSHA-SPI-11 TREADSx30""TREAD WIDTH nan",65,,,,,,,,330.0 lbs,,
SO1136,SO,STAIRS,"STAIRS-OSHA-SPI-11 TREADSx36""TREAD WIDTH nan",65,,,,,,,,330.0 lbs,,
SO1140,SO,STAIRS,"STAIRS-OSHA-SPI-11 TREADSx40""TREAD WIDTH nan",65,,,,,,,,330.0 lbs,,
SO1148,SO,STAIRS,"STAIRS-OSHA-SPI-11 TREADSx48""TREAD WIDTH nan",65,,,,,,,,330.0 lbs,,
SO1224,SO,STAIRS,"STAIRS-OSHA-SPI-12 TREADSx24""TREAD WIDTH nan",65,,,,,,,,360.0 lbs,,
SO1230,SO,STAIRS,"STAIRS-OSHA-SPI-12 TREADSx30""TREAD WIDTH nan",65,,,,,,,,360.0 lbs,,
SO1236,SO,STAIRS,"STAIRS-OSHA-SPI-12 TREADSx36""TREAD WIDTH nan",65,,,,,,,,360.0 lbs,,
SO1240,SO,STAIRS,"STAIRS-OSHA-SPI-12 TREADSx40""TREAD WIDTH nan",65,,,,,,,,360.0 lbs,,
SO1248,SO,STAIRS,"STAIRS-OSHA-SPI-12 TREADSx48""TREAD WIDTH nan",65,,,,,,,,372.0 lbs,,
SO1324,SO,STAIRS,"STAIRS-OSHA-SPI-13 TREADSx24""TREAD WIDTH nan",65,,,,,,,,390.0 lbs,,
SO1330,SO,STAIRS,"STAIRS-OSHA-SPI-13 TREADSx30""TREAD WIDTH nan",65,,,,,,,,390.0 lbs,,
SO1336,SO,STAIRS,"STAIRS-OSHA-SPI-13 TREADSx36""TREAD WIDTH nan",65,,,,,,,,390.0 lbs,,
SO1340,SO,STAIRS,"STAIRS-OSHA-SPI-13 TREADSx40""TREAD WIDTH nan",65,,,,,,,,390.0 lbs,,
SO1348,SO,STAIRS,"STAIRS-OSHA-SPI-13 TREADSx48""TREAD WIDTH nan",65,,,,,,,,390.0 lbs,,
